_id,timestamp,node_id,sample_num,temp_raw,hum_raw,temperature_c,humidity_pct
69f8849440302e7b71c1b7de,2026-05-04T14:35:48.071Z,1,57,7309,803,33.49,26.39
69f884a740302e7b71c1b7df,2026-05-04T14:36:07.604Z,1,58,7308,800,33.48,26.29
69f884bb40302e7b71c1b7e0,2026-05-04T14:36:27.131Z,1,59,7311,804,33.51,26.43
69f884ce40302e7b71c1b7e1,2026-05-04T14:36:46.668Z,1,60,7318,800,33.58,26.29
69f884e240302e7b71c1b7e2,2026-05-04T14:37:06.197Z,1,61,7314,800,33.54,26.29
69f884f540302e7b71c1b7e3,2026-05-04T14:37:25.720Z,1,62,7318,798,33.58,26.22
69f8850940302e7b71c1b7e4,2026-05-04T14:37:45.245Z,1,63,7317,800,33.57,26.29
69f8851c40302e7b71c1b7e5,2026-05-04T14:38:04.783Z,1,64,7324,800,33.64,26.29
69f8853040302e7b71c1b7e6,2026-05-04T14:38:24.321Z,1,65,7297,792,33.37,26.02
69f8854340302e7b71c1b7e7,2026-05-04T14:38:43.852Z,1,66,7295,806,33.35,26.5
69f8855740302e7b71c1b7e8,2026-05-04T14:39:03.375Z,1,67,7300,804,33.4,26.43
69f8856a40302e7b71c1b7e9,2026-05-04T14:39:22.917Z,1,68,7308,802,33.48,26.36
69f8857e40302e7b71c1b7ea,2026-05-04T14:39:42.433Z,1,69,7316,796,33.56,26.16
69f8859140302e7b71c1b7eb,2026-05-04T14:40:01.973Z,1,70,7315,794,33.55,26.09
69f885a540302e7b71c1b7ec,2026-05-04T14:40:21.506Z,1,71,7310,799,33.5,26.26
69f885b940302e7b71c1b7ed,2026-05-04T14:40:41.023Z,1,72,7306,796,33.46,26.16
69f885cc40302e7b71c1b7ee,2026-05-04T14:41:00.568Z,1,73,7306,802,33.46,26.36
69f885e040302e7b71c1b7ef,2026-05-04T14:41:20.086Z,1,74,7314,812,33.54,26.7
69fa179033cfca91be8f9522,2026-05-05T19:15:12.452Z,1,11,6926,1254,29.66,41.47
69fa17a333cfca91be8f9523,2026-05-05T19:15:31.988Z,1,12,6929,1251,29.69,41.37
69fa17b733cfca91be8f9524,2026-05-05T19:15:51.520Z,1,13,6919,1253,29.59,41.43
69fa18051d49d8673900836b,2026-05-05T19:17:09.646Z,1,17,6950,1236,29.9,40.88
69fa18191d49d8673900836c,2026-05-05T19:17:29.179Z,1,18,6946,1240,29.86,41.01
69fa182c1d49d8673900836d,2026-05-05T19:17:48.699Z,1,19,6936,1244,29.76,41.14
69fa18401d49d8673900836e,2026-05-05T19:18:08.233Z,1,20,6952,1240,29.92,41.01
69fa18531d49d8673900836f,2026-05-05T19:18:27.772Z,1,21,6962,1234,30.02,40.81
69fa18671d49d86739008370,2026-05-05T19:18:47.298Z,1,22,6956,1231,29.96,40.71
69fa187a1d49d86739008371,2026-05-05T19:19:06.826Z,1,23,6967,1232,30.07,40.75
69fa188e1d49d86739008372,2026-05-05T19:19:26.356Z,1,24,6961,1228,30.01,40.61
69fa18a11d49d86739008373,2026-05-05T19:19:45.900Z,1,25,6957,1232,29.97,40.75
69fa18b51d49d86739008374,2026-05-05T19:20:05.421Z,1,26,6968,1232,30.08,40.75
69fa18c81d49d86739008375,2026-05-05T19:20:24.950Z,1,27,6971,1231,30.11,40.71
69fa18dc1d49d86739008376,2026-05-05T19:20:44.481Z,1,28,6981,1227,30.21,40.58
69fa18f01d49d86739008377,2026-05-05T19:21:04.023Z,1,29,6987,1222,30.27,40.42
69fa19031d49d86739008378,2026-05-05T19:21:23.542Z,1,30,6988,1224,30.28,40.48
69fa19171d49d86739008379,2026-05-05T19:21:43.080Z,1,31,6990,1220,30.3,40.35
69fa192a1d49d8673900837a,2026-05-05T19:22:02.607Z,1,32,6993,1220,30.33,40.35
69fa193e1d49d8673900837b,2026-05-05T19:22:22.141Z,1,33,6999,1218,30.39,40.29
69fa19511d49d8673900837c,2026-05-05T19:22:41.663Z,1,34,7004,1212,30.44,40.09
69fa19651d49d8673900837d,2026-05-05T19:23:01.199Z,1,35,6996,1214,30.36,40.16
69fa19781d49d8673900837e,2026-05-05T19:23:20.725Z,1,36,6991,1219,30.31,40.32
69fa198c1d49d8673900837f,2026-05-05T19:23:40.273Z,1,37,6997,1220,30.37,40.35
69fa19b31d49d86739008380,2026-05-05T19:24:19.329Z,1,39,6996,1222,30.36,40.42
